都道府県  総人口  15歳未満 15～64歳 65歳以上人口
01北海道   5320000  588000 3099000 1632000
02青森県   1278000  141000  731000  407000
03岩手県   1255000  144000  711000  400000
04宮城県   2323000  280000 1412000  631000
05秋田県    996000  101000  541000  354000
06山形県   1102000  130000  617000  355000
07福島県   1882000  220000 1093000  569000
08茨城県   2892000  355000 1719000  819000
09栃木県   1957000  245000 1176000  536000
10群馬県   1960000  241000 1151000  567000
11埼玉県   7310000  899000 4510000 1900000
12千葉県   6246000  755000 3799000 1692000
13東京都  13724000 1542000 9021000 3160000
14神奈川県 9159000 1122000 5763000 2274000
15新潟県   2267000  265000 1292000  709000
16富山県   1056000  124000  598000  334000
17石川県   1147000  145000  671000  331000
18福井県    779000  101000  446000  232000
19山梨県    823000   99000  479000  245000
20長野県   2076000  260000 1169000  647000
21岐阜県   2008000  258000 1161000  589000
22静岡県   3675000  464000 2143000 1069000
23愛知県   7525000 1010000 4663000 1852000
24三重県   1800000  226000 1051000  522000
25滋賀県   1413000  200000  856000  357000
26京都府   2599000  308000 1548000  743000
27大阪府   8823000 1069000 5356000 2399000
28兵庫県   5503000  692000 3252000 1558000
29奈良県   1348000  163000  776000  408000
30和歌山県  945000  112000  529000  304000
31鳥取県    565000   72000  318000  175000
32島根県    685000   85000  370000  230000
33岡山県   1907000  243000 1097000  567000
34広島県   2829000  368000 1652000  809000
35山口県   1383000  164000  757000  462000
36徳島県    743000   85000  418000  241000
37香川県    967000  120000  546000  301000
38愛媛県   1364000  164000  762000  437000
39高知県    714000   80000  389000  244000
40福岡県   5107000  675000 3048000 1384000
41佐賀県    824000  113000  471000  240000
42長崎県   1354000  173000  757000  424000
43熊本県   1765000  237000  998000  531000
44大分県   1152000  143000  642000  367000
45宮崎県   1089000  146000  604000  338000
46鹿児島県 1626000  217000  907000  501000
47沖縄県   1443000  247000  893000  303000
